p,R1,R2,R11,R22,S11_10GHz,S11_12GHz,S11_14GHz
6.099342830602247,2.5099033154879002,1.3324821725025617,0.7046096221061304,0.474095191851052,-25.423759682022702,-21.336897629879704,-16.822222376534434
5.9723471397657635,2.4386950524369153,1.385548132928448,0.756980749461025,0.4990638953318275,-25.453414108383853,-20.757117000485348,-20.6665214435553
6.1295377076201385,2.308944555488026,1.3207580079000039,0.7793197233289179,0.5005405061613334,-26.795643172630015,-21.130472220289093,-16.927881525166583
6.304605971281605,2.2029594833441637,1.3692038470360959,0.8943843828670096,0.5141789103753022,-25.330090191701437,-20.657594982489364,-18.35058608677759
5.953169325055333,2.4047334970420384,1.2106385333046212,0.827827656226688,0.4589942491015752,-24.267170918178255,-20.256980372853427,-16.93881343370343
5.9531726086101635,2.3590228078132625,1.4213293707372938,0.7332259215450054,0.5177770182154199,-26.274232119076796,-18.99541461640234,-16.834602461467757
6.315842563101478,2.43427898300416,1.4001205475362224,0.8243018144708819,0.4188682510519167,-23.95151734894941,-20.385390846446843,-15.588127408321263
6.153486945830582,2.395275770252295,1.318291136893181,0.7226348005530818,0.48110346342908566,-24.512225178915664,-21.90275084812351,-15.969819528568195
5.90610512281301,2.4574329072979,1.4659245668432404,0.8541345526943537,0.4853517847264537,-25.734233321971036,-18.631918584205806,-15.980142506084556
6.108512008717193,2.2197147182659145,1.4937570137626557,0.7764437674091061,0.5189998047821371,-25.141529637337847,-21.004508160338048,-15.834494521250642
5.9073164614375075,2.4976091098451487,1.2392440135631024,0.7953181905630415,0.500678925580306,-23.40167819235897,-20.070464512525554,-17.562931522776083
5.906854049285949,2.32963994070386,1.3237275221433784,0.8662898323771095,0.4578331083843114,-24.266452186494135,-19.464156191671147,-17.95172236944474
6.048392454313207,2.61128913089379,1.3230857650212702,0.7356418215707875,0.47045020622548955,-24.99121634510185,-19.76046749791666,-16.690774375232497
5.61734395106844,2.1966218272865645,1.3060096898891134,0.7301440907443505,0.5059604002864222,-25.237683316960986,-18.68698454297423,-16.901878572850467
5.655016433497393,2.560394570474787,1.4829474841931747,0.7708200336826998,0.4976279797440633,-24.92339092954834,-19.42519622792869,-18.46359935510739
5.8875424941518055,2.329686617519397,1.3806173861227196,0.8519189425509659,0.4826262767109276,-25.511763557942302,-21.03357149563653,-17.3927648867876
5.797433775933115,2.2022872994578324,1.373548515868939,0.724032696226158,0.48557498631464063,-27.104749505719013,-17.385725391210006,-18.05264470017689
6.062849466519054,2.2274171248918515,1.1996137635593245,0.6583922200944716,0.5208850399147786,-22.957822089465267,-19.76679984399412,-19.280899362690086
5.818395184895758,2.251947903770852,1.4635418030209226,0.77744205707955,0.4844692228139236,-24.8446750008006,-20.176808271945806,-16.064308887935475
5.717539259732941,2.363624891960287,1.2760741605146526,0.8275870399955461,0.4973572626791278,-24.60185273487746,-18.843289492333316,-17.917201136204866
